match_id,event_id,team_id,period,elapsed_seconds,formation_before,formation_after,score_state_before,goal_difference_before,red_card_difference_before
3857276,d9ee164b-961d-49aa-95e2-a260688938ee,1833,1,1441.0,,4411,trailing,-2,0
3857276,fca0b577-cf8d-496f-b4d6-c6e67950bf3b,1833,2,3646.0,,4411,trailing,-1,0
3857276,dfab5f9c-3008-496f-a47f-c0ea1ca4af6d,1833,2,3984.0,,442,trailing,-1,0
3857276,eb94620d-1e62-435a-a21a-753b70754df5,788,2,4574.0,,343,leading,1,0
3857276,431fd429-030b-41bd-a29a-52d950b1f84c,788,2,5107.0,,343,leading,1,0
3857271,ae1bc5a8-5a44-414a-8bdc-be529f1b9708,797,1,1156.0,,343,drawing,0,0
3857271,513d43f1-a953-47c6-8bae-19318773689b,797,1,1158.0,,343,drawing,0,0
3857271,4d95bbc6-1247-46a1-a440-55e69dfb099c,797,2,2700.0,,3421,trailing,-3,0
3857271,88ad58d4-8899-4d0c-bcc1-cb424bd25022,797,2,3771.0,,3421,trailing,-4,0
3857271,f6e32631-4868-4c80-928d-d3ec96f03456,797,2,4603.0,,352,trailing,-4,0
3857296,fc04897a-69cd-43e0-ac77-dee1007ab1fe,782,2,2700.0,,4231,drawing,0,0
3857296,486e1cd1-08b1-4738-bbb4-b4c9a6781eaa,782,2,3982.0,,4231,drawing,0,0
3857296,78fdf9a1-3a8f-429e-9f3e-def6b13997ae,782,2,4372.0,,4231,drawing,0,0
3857296,c91b1909-03fb-4115-87c9-93d781dae768,782,2,5223.0,,4231,drawing,0,0
3857274,93db71d9-898b-4314-8948-815396823e17,3565,2,4420.0,,3421,drawing,0,0
3857255,730a5c79-435d-4abf-be8a-219b6276c87b,778,2,4134.0,,343,leading,1,0
3857255,2c1b4a38-e6de-48cc-ad5e-a9c33f8c5976,772,2,4134.0,,433,trailing,-1,0
3857255,d9ee748d-99dc-4cd8-ad46-13ba392f2549,772,2,4855.0,,433,trailing,-1,0
3857278,9fa30bdf-c3e9-4f92-bc97-825fca3995b3,797,1,1819.0,,4141,drawing,0,0
3857278,5b101b91-e286-4579-bde4-23d6aef1a60f,797,1,2853.0,,4141,trailing,-1,0
3857278,a07aab63-4971-4642-af62-59101d54cc70,797,2,2700.0,,433,trailing,-1,0
3857278,b79e3b74-c325-4b02-bdf5-7448366ed08b,797,2,3030.0,,433,trailing,-1,0
3857278,d4036db1-efb9-441e-b569-a444772e7877,1839,2,3114.0,,442,leading,1,0
3857278,833a2365-5afa-47d1-8cc2-3ad8adf86313,797,2,3757.0,,433,trailing,-1,0
3857278,7723836c-dbc0-40ca-be5b-982f4106fe2b,797,2,4690.0,,442,trailing,-1,0
3857278,281f0f80-278e-479a-9c4f-d71a4860413b,797,2,4890.0,,442,trailing,-1,0
3857278,899f19ca-437c-4724-9e85-ae8e663fbbbb,1839,2,4994.0,,343,leading,1,0
3857277,d97e0c0a-3b58-4bac-a90f-9cfe14f9663d,785,2,4800.0,,4231,drawing,0,0
3857277,2a6f0982-4b26-4060-b298-acab4c2d04d9,788,2,4894.0,,4141,drawing,0,0
3857277,41dad919-2640-4971-b74c-8eec6e17d92e,785,2,5409.0,,4231,drawing,0,0
3857273,e041f8eb-f220-4b92-b2eb-fb3aa1bb3fca,907,2,3655.0,,442,drawing,0,0
3857273,58aa3800-4f89-4c9d-a751-861131ccab84,797,2,4951.0,,4411,drawing,0,0
3857273,fc874797-e4ef-4cb9-bc82-48f74e212a3d,907,2,5208.0,,442,drawing,0,-1
3857275,ea547752-fdf9-437f-bb9a-74029752591d,771,2,3820.0,,433,trailing,-1,0
3857275,0cdeac75-b204-4f5b-9edf-80d291f33867,771,2,4407.0,,4231,trailing,-1,0
3857275,dfbb9dba-cca9-4f7d-89e1-75d9b3681318,777,2,5073.0,,3421,leading,1,0
3857275,3bd5875b-765e-47c7-9224-4e36ffee516d,777,2,5304.0,,3421,leading,1,0
3857261,32324666-8739-4f41-b7fc-db08b2f4eab0,768,2,2700.0,,433,drawing,0,0
3857261,1d4dc140-0ef3-4855-9255-5aff4b34f82e,907,2,3541.0,,4231,trailing,-2,0
3857261,45282e64-a3f5-44ed-9e3d-af9e25b2a378,768,2,4712.0,,433,leading,3,0
3857290,bd6265f1-ff31-497f-bc25-2058a7ab43e0,773,1,1786.0,,4231,drawing,0,0
3857290,e9f40007-f67f-4d63-a777-0c351e35fba0,773,1,2134.0,,4231,drawing,0,0
3857298,4961269a-43dd-41a0-bd7a-44e1bbcc0991,4885,2,4607.0,,352,drawing,0,0
3857298,6f1efba8-fa17-4be0-abdf-cd4772137b65,780,2,4622.0,,4231,drawing,0,0
3857298,9ffac021-37d5-4469-8af8-637d6f696d9c,780,2,5278.0,,433,leading,2,0
3857298,ef003fdb-7e07-497f-832b-1e4d04ebcf58,4885,2,5527.0,,4411,trailing,-1,0
3857285,270d19c2-1e0d-49b2-a326-5196cdfb9621,941,2,3710.0,,3412,drawing,0,0
3857285,2013dc28-60dd-4ce0-b885-78f3e4e4a5f5,787,2,3931.0,,433,drawing,0,0
3857285,14d8d025-82bf-4321-8e03-fbf9fff206d5,941,2,4694.0,,3412,drawing,0,0
3857285,7a5de556-ded2-43da-9ed8-1dcef8a95a7b,941,2,5620.0,,3421,leading,1,0
3857282,b325fbca-4d7c-42b2-9531-725be5ed3507,907,2,4709.0,,442,trailing,-1,0
3857297,559d9a1e-2d41-45eb-81dc-afe2126c5fbd,789,1,1491.0,,4411,drawing,0,0
3857297,b091b20f-d71d-42f7-988a-a7fa2716fb18,799,2,2709.0,,4231,trailing,-1,0
3857297,79c7b948-0085-4dd6-94f2-afff30a9ec2d,789,2,3791.0,,442,leading,1,0
3857297,8b9c7b13-b4c1-490b-aad3-99c990ab175b,799,2,5115.0,,4231,trailing,-2,0
3857297,631a08d8-4fa6-4c53-819f-f23f5a6e49a6,799,2,5699.0,,442,trailing,-2,0
3857294,7d066dc3-32ff-4868-9184-043edeb50ce2,3566,1,623.0,,352,drawing,0,0
3857294,d683d32f-058d-4879-b5a6-c4396c9b2989,3566,1,2181.0,,352,trailing,-1,0
3857294,cc42b244-df9c-4c3a-9f1c-eb0c8aa333a6,3566,2,2700.0,,352,trailing,-1,0
3857294,1053a163-f78c-4977-a2f8-48dcb9508e68,3566,2,5125.0,,352,trailing,-2,0
3857266,203947bb-74e5-4536-8a79-c78935f6f459,776,2,5082.0,,352,drawing,0,0
3857266,607a0b6e-fa0a-4eb7-af80-ce7d3f76f68d,771,2,5535.0,,433,leading,1,0
3857284,58c59896-1e31-4495-a5b7-1354ab97dcaa,778,2,2700.0,,343,trailing,-1,0
3857284,521a06f2-9c03-449b-ad70-cde4087b2005,770,2,4038.0,,4231,leading,1,0
3857284,c79fe13a-9393-427a-8cc5-3e81e7a8e0dc,778,2,4435.0,,343,trailing,-1,0
3857284,97c364f3-d5a8-4fce-91ff-3330a4fc5d80,770,2,5349.0,,442,trailing,-1,0
3857254,de7bea97-afa9-4b9f-bddd-f97a5a7c9d62,776,2,3024.0,,3421,drawing,0,0
3857254,dfd51f5b-ff15-4e2a-a590-00e2737011a0,776,2,3970.0,,4231,drawing,0,0
3857254,c16a9ce2-5253-405c-821b-d5aed1e76431,777,2,4809.0,,343,drawing,0,0
3857265,ca5a932e-419f-46e3-bfbc-5f6866491e2d,789,2,2700.0,,4411,drawing,0,0
3857265,829f7a3f-c354-4199-9a5f-c78f13994dfe,794,2,5029.0,,433,drawing,0,0
3857265,ccc903e4-b873-4f19-979d-ccc4902bb586,789,2,5222.0,,442,drawing,0,0
3857301,cac894cd-b45e-4eff-b176-197ae427de2f,787,2,3844.0,,433,leading,2,0
3857301,c67b299f-f67e-4828-9d5b-6f7615b6d79e,787,2,4465.0,,433,leading,2,0
3857301,77466165-a3c7-4517-b41c-704e9d497341,3566,2,4506.0,,352,trailing,-2,0
3857301,864670c7-a945-465f-84d9-c4199e547cd3,787,2,4638.0,,433,leading,2,0
3857301,dae8a308-00d7-4fe4-953b-1e6ee937be94,3566,2,4988.0,,352,trailing,-2,0
3857268,ec31034f-c22d-4d1f-94d4-58d304d15262,782,2,2724.0,,3421,leading,1,0
3857268,d879bbe9-f3c8-4c66-a6d2-ee3dc8ce59ab,1833,2,3493.0,,3421,trailing,-1,0
3857268,25592567-c8dd-41a4-989b-c8ee22083527,1833,2,4413.0,,3421,trailing,-1,0
3857268,3017d748-5b95-4c7b-9327-463364dae287,1833,2,4848.0,,442,trailing,-1,0
3857269,d8c2e2f8-f9d7-4d74-954a-6f81f1a15a8c,781,1,1170.0,,433,drawing,0,0
3857269,b2bc38c0-0f09-4907-a2bd-72bb01957359,781,1,1464.0,,4411,drawing,0,0
3857269,dff7f554-e00e-44f9-aa0e-639ab51077b8,781,2,2700.0,,4411,drawing,0,0
3857269,44aa05ee-e4b5-4d55-9c1b-7270cc3ded87,773,2,5383.0,,4231,trailing,-1,0
3869321,038c5ef6-35ef-4af6-b30f-0ac4e11621cb,941,2,2700.0,,3412,trailing,-1,0
3869321,7741080b-3377-4b89-b377-d8ce11cc2af5,941,2,3844.0,,4231,trailing,-1,0
3869321,e074d68d-2dce-4678-ac77-d2fec27dfde3,779,2,3981.0,,352,leading,1,0
3869321,a07dfd21-c6a5-4998-8db5-5f2e12279315,941,2,4689.0,,442,trailing,-2,0
3869321,96d5fad6-aff8-4b12-8cd5-a6df14a1ca81,779,4,6770.0,,433,drawing,0,0
3857292,b4b853a3-4b84-422c-af6f-44c3a488c8b1,770,2,2700.0,,4231,leading,1,0
3857292,c5e1d7e8-c491-47d5-87bd-dd1feba81624,795,2,2700.0,,343,trailing,-1,0
3857292,3efdad90-c982-4b09-944a-b45554f51f4b,770,2,3238.0,,442,leading,1,0
3857292,e14c79e2-50bc-46aa-a158-48f704fd214b,770,2,3960.0,,352,drawing,0,0
3857292,35179214-4b5d-4c29-a487-279c5ffe01a4,795,2,5555.0,,343,trailing,-2,0
3857295,c8eea220-46e0-435c-8bff-1543d463966e,778,1,2248.0,,343,drawing,0,0
3857295,e98acb21-1f4d-43f0-ae79-5e53e54e89bc,778,2,3710.0,,343,drawing,0,0
3857295,75f6906c-46ad-4bf2-81d0-dc7445b7a0af,795,2,3876.0,,343,drawing,0,0
3857295,2b13398d-9f3b-48e4-a438-75d69774cadb,778,2,4911.0,,343,trailing,-1,0
3857295,0880ea06-3cf8-4341-8824-297f6eefc086,795,2,5340.0,,343,leading,1,0
3857295,3c220202-1b42-4b54-943b-668ab3a8ac62,795,2,5671.0,,343,leading,1,0
3869685,776e2bb6-b9d4-4455-8965-d7c86afa4ad4,771,1,2480.0,,4231,trailing,-2,0
3869685,88fc5a71-0b1d-4ccd-9cba-0216f28b1262,771,2,3849.0,,4231,trailing,-2,0
3869685,af7bfb2a-d02f-4512-8430-0fe330aac422,771,2,4372.0,,442,trailing,-2,0
3869685,e454d741-3a2b-4587-89b1-1148803dcdd2,771,2,4445.0,,442,trailing,-2,0
3869685,39376cef-49a0-484a-ab0d-64a9c023024e,779,3,6136.0,,433,drawing,0,0
3869685,de8d4b3f-17eb-47ba-84f0-b8aac05d91c3,779,4,6932.0,,352,leading,1,0
3869685,68fe5a2d-6340-42e3-9c72-1c6d55815da7,779,4,7248.0,,352,drawing,0,0
3869684,9bfdded3-20ed-47ba-952f-a11e96342a94,785,1,2598.0,,4231,leading,1,0
3869684,15f0af36-4d1b-47ec-a70b-0d4fc47252d2,788,2,2700.0,,433,trailing,-1,0
3869684,25d26041-3fae-4611-8e6a-745de1b10042,788,2,3406.0,,433,trailing,-1,0
3869684,fb1726b5-7c92-469e-8a15-48c03c692475,788,2,4033.0,,433,trailing,-1,0
3857256,a33e3377-947b-4687-9198-185ee4cbfe41,786,2,4038.0,,3412,trailing,-1,0
3857256,1cff9959-2727-4a5b-811f-8f53223df4f8,773,2,4101.0,,4231,leading,1,0
3869151,b4b618e9-e845-4d0f-858e-2a775e5628e7,779,1,1618.0,,442,drawing,0,0
3869151,d460bbb2-0a1f-46b9-a3d0-45c2642d3ac7,792,2,2700.0,,4231,trailing,-1,0
3869151,49be65c5-2aea-4222-a01f-5ecea8e56701,779,2,3064.0,,352,leading,1,0
3869151,1dd88969-c7aa-471b-9d61-44e7f5e3a326,792,2,3473.0,,442,trailing,-2,0
3869151,98b2e664-aa30-4ef0-9595-8534fc6103db,792,2,4309.0,,442,trailing,-2,0
3869151,4b8f2a3e-97cd-4ec2-804a-351763ee76bf,779,2,4843.0,,352,leading,1,0
3857257,bcfa49c4-aba5-4a67-822b-2c2c3aad2505,792,2,2818.0,,4231,drawing,0,0
3857257,1301275c-4e04-480b-b289-12f25b876f25,792,2,3904.0,,4231,leading,1,0
3857257,1d076107-b5e5-44b4-b36f-aaf918313180,776,2,4161.0,,442,trailing,-1,0
3857257,a2d75d85-526a-4519-a1d6-4dca474122e2,792,2,4236.0,,4231,leading,1,0
3857257,e6d8c5c5-25d5-438f-8f39-ad0b95ed1d68,792,2,4457.0,,343,leading,1,0
3857258,ef01d2dd-9fcc-41bd-a89a-f17a076a2b2c,786,2,4009.0,,3412,trailing,-1,0
3857258,9c86484b-3fd4-4df1-b724-c34658167aba,781,2,4763.0,,4231,leading,2,0
3857258,1dbf2a93-7af3-4145-ba9d-76e7aeb514a6,786,2,4978.0,,352,trailing,-2,0
3857258,161431c7-27f4-4412-a63a-134df7b6b0a8,781,2,5219.0,,4231,leading,2,0
3857288,b101770b-c5d6-4718-851a-aa42c0613b07,777,2,2700.0,,433,trailing,-1,0
3857288,2eec504a-829c-4f14-acf9-501d51574af6,792,2,3817.0,,442,leading,1,0
3857288,7ef081a8-3be4-487f-89a9-938f588072b8,777,2,4023.0,,4231,trailing,-1,0
3857267,6c3efb9e-6f6e-40ab-8b17-72c914e1aaed,3565,2,2700.0,,442,trailing,-1,0
3857267,7cb45057-910a-4801-bcd3-626a52c858b4,787,2,4458.0,,4231,leading,1,0
3857267,26f21b48-b41e-4422-8ace-1ef93c90bb48,787,2,5708.0,,343,leading,1,0
3857287,7a08db9c-c430-4b9c-a2c1-4657e9e3b41e,783,2,3829.0,,442,drawing,0,0
3857287,4e3a8035-b702-413f-9ca0-dbfcb1db9ea1,791,2,4525.0,,4231,drawing,0,0
3869486,aa74d03c-ef83-4f36-97f0-5fe4af54ca1d,780,2,3069.0,,4231,trailing,-1,0
3869486,1dde7046-b902-4eeb-a9fd-3578678d9dd3,788,2,3427.0,,4141,leading,1,0
3869486,28779ec3-4ca7-486d-a970-14a987bb33b0,788,2,3886.0,,343,leading,1,0
3869486,98727e30-c693-472d-8350-a5deeb4918b4,780,2,4112.0,,4231,trailing,-1,0
3869486,e082d971-cf9d-4b99-8f30-41eefa01de7e,780,2,4723.0,,4231,trailing,-1,0
3869486,9a523654-02ed-4718-ac8a-3a3fffc16e17,788,2,4852.0,,343,leading,1,0
3869486,1a1814de-a2a9-4cea-ad11-6fe3c9d4f0f4,788,2,5572.0,,3511,leading,1,-1
3857260,f7750884-22a7-441c-86c8-5dab0b38d804,799,1,2241.0,,442,drawing,0,0
3857260,cc8cbea7-725c-46e8-92b1-df16a187173f,794,2,2700.0,,4231,drawing,0,0
3857260,f67f2d17-0f9e-4a56-8f1f-14ffa13db2a7,799,2,2719.0,,343,drawing,0,0
3857260,5cfbc170-85a0-40e1-a150-094128f9ff6c,799,2,3837.0,,343,trailing,-2,0
3857260,c4319556-badb-42ca-8368-494358a3697e,794,2,5170.0,,442,leading,2,0
3857260,8244d5fd-8fdb-4a6d-9842-570ebaee18fc,799,2,5429.0,,343,trailing,-2,0
3857260,cd03ff83-5bf4-460d-8dee-905eda04977a,794,2,5511.0,,442,leading,2,0
3857264,cd1d8029-a5fd-4907-a2b5-ba11b2ad4b96,779,1,1252.0,,433,drawing,0,0
3857264,b9013e54-019d-4d1d-bc46-6e69214f9667,779,1,1610.0,,433,drawing,0,0
3857264,021eb304-ade7-44c3-87db-289264bf9f9f,789,2,2700.0,,442,drawing,0,0
3857264,75ed4bbd-fc0d-4a2e-99ef-ba8fff8d73f0,779,2,3566.0,,433,leading,1,0
3857264,6802f73a-5fe8-4387-bf87-95f0f9abba50,779,2,4729.0,,343,leading,2,0
3857264,694bbfea-e9c4-4d77-b999-1af1be3c8598,789,2,4982.0,,442,trailing,-2,0
3857289,00b233dc-ee5c-447b-8997-7e4329e5e905,794,2,2700.0,,352,drawing,0,0
3857289,6e37b65b-e22e-4d83-8e52-c4a818e3f107,794,2,3930.0,,4231,trailing,-1,0
3857289,df741cf7-ee10-40ce-8614-795a42bee00a,779,2,4142.0,,352,leading,1,0
3869254,11f7156c-46ae-4c28-87c4-00ebda0332f8,773,2,3502.0,,442,trailing,-3,0
3869254,98dd3822-ae97-42db-845a-b4643775cc1c,780,2,4451.0,,433,leading,4,0
3869254,72fd00a0-948a-47e1-9df3-0d397b416a5d,780,2,4987.0,,433,leading,4,0
3869254,69ad627c-6498-44e5-b012-f3768b96d9aa,773,2,5428.0,,4231,trailing,-4,0
3869118,67686d39-df48-4fb5-8056-b829e7852aee,787,2,2704.0,,4231,trailing,-2,0
3869118,6d49fad5-4f1e-4d98-a0ad-83b78e18500a,787,2,4280.0,,4231,trailing,-3,0
3869118,42a66bad-f29b-4660-83f8-1edd6a1a08b6,768,2,5021.0,,4231,leading,3,0
3869519,2710ca93-7c70-4564-ab4e-7c8cdcd02829,785,2,2700.0,,433,trailing,-2,0
3869519,1493d974-5c9e-4d42-90ee-19bbd972ff31,785,2,2983.0,,4231,trailing,-2,0
3869519,68fc37a1-e3fb-464e-b5d4-7d7ed7d86b12,779,2,3690.0,,352,leading,2,0
3869354,059da86d-2641-4903-87eb-c23c1a9e2bec,768,2,5841.0,,433,trailing,-1,0
3869552,2b88a496-b3b9-4fd1-ae9b-6531e15436d6,788,1,1245.0,,433,trailing,-1,0
3869552,f7f9cc4a-86ad-4fe8-82a7-0ea11c297e0a,788,2,2700.0,,433,trailing,-1,0
3869552,3a86138c-cd3f-44df-b381-ce136c2f4f7f,771,2,3892.0,,433,leading,1,0
3869552,c47a8d17-e949-443f-8e71-b96fc266bfb9,788,2,4699.0,,442,trailing,-1,0
3869420,ebce054e-1f31-45e7-a3e1-f70d73e33bb3,781,1,1615.0,,4411,drawing,0,0
3869420,696148ee-08dd-41c8-907c-e22077615f1f,781,4,6345.0,,4411,leading,1,0
3869420,5cf5869a-03a0-4f3e-9aab-92ef20b89f2f,785,4,6565.0,,442,trailing,-1,0
3869220,79f4fc16-b9c6-4ee3-b1a5-000ec478c6f9,772,1,2108.0,,433,drawing,0,0
3869220,a923cf39-d86c-4278-801c-c6d68a50ebd7,772,2,3904.0,,433,drawing,0,0
3869220,c2c4dbd2-f3fe-4b68-a296-5e1057bb953e,788,2,5063.0,,433,drawing,0,0
3869220,1c3fb5f7-c9df-4261-9cbe-ff85d5002f26,788,4,7205.0,,343,drawing,0,0
3869219,f263f747-1873-4c95-a28e-a33bb3391d72,785,2,3547.0,,433,drawing,0,0
3869219,21597ce1-761c-4a48-9ede-f06299d749f9,785,2,4085.0,,433,drawing,0,0
3869219,304dda92-fc01-49a9-b184-51cce7440bcb,778,2,4460.0,,343,drawing,0,0
3869219,8538e208-4d65-4e9a-96e3-2f71304cda6a,778,2,5197.0,,343,drawing,0,0
3869253,9ee190e4-90c0-4074-a54c-e6f4514b8308,791,2,2700.0,,4141,trailing,-4,0
3869253,c8bc4e27-8c9a-4442-b3e8-2cef3a66d936,781,2,4819.0,,4411,leading,3,0
3869253,344a44a3-52d2-4cca-9b85-fddcd7f0c60a,781,2,4821.0,,4411,leading,3,0
3869152,d096d74f-c038-4bb2-8bd1-8f2225d99d7b,789,2,3829.0,,4231,trailing,-1,0
3869152,3eb11045-1792-4ecf-b7f5-a19da4d929dc,771,2,4556.0,,4231,leading,2,0
3869117,f879dc98-73fc-43c8-8e46-03ab7e301543,1839,1,1092.0,,433,trailing,-1,0
3869117,b1e7110a-fd3e-4c6d-9d17-c079df3f04bd,941,2,2753.0,,3412,leading,2,0
3869117,1269299f-45d2-446c-bbb9-e3e0ba3778ad,1839,2,4053.0,,433,trailing,-2,0
3869117,1faffe9b-d242-4288-8ec3-d8382fa454e0,1839,2,5495.0,,433,trailing,-2,0
3869117,95ea1859-83ff-4bca-b954-bcaa8dec55f6,941,2,5617.0,,3412,leading,2,0
3857270,1625d904-a9d2-4b37-b8a9-0f5e69bcab46,780,2,3327.0,,433,leading,1,0
3857270,5c722865-90e1-48b0-9985-1d8afe8e3c4b,783,2,3705.0,,442,trailing,-1,0
3857270,dbe3c4fd-ec7b-4361-907d-2c0fa54157c3,780,2,4379.0,,433,leading,1,0
3857270,5d1dc456-818a-41eb-adc1-98913acf1100,780,2,4975.0,,4231,leading,1,0
3857263,f3a58f59-32e8-4474-8fe9-232d19f3a45c,772,2,3206.0,,433,drawing,0,0
3857263,0be6d48d-6d81-4e22-b758-1b2d4d9e189b,772,2,3957.0,,433,leading,1,0
3857263,476013f2-39c0-4c5a-a84e-5f2a56865d64,770,2,4184.0,,4231,trailing,-1,0
3857259,05f11857-d4b0-45b9-b055-1bea21542227,786,2,2959.0,,3421,leading,1,0
3857259,dd00b02a-d777-421c-82aa-7e91060284de,2722,2,3285.0,,433,trailing,-2,0
3857259,e3ca601a-6917-4bcb-bcb6-f607aee8afc0,2722,2,3541.0,,4231,trailing,-2,0
3857259,798459df-81ce-4d9d-9414-9efc66927f0c,2722,2,4023.0,,4231,drawing,0,0
3857259,8198d08f-634b-4349-a67f-971896c69ccf,786,2,4705.0,,352,drawing,0,0
3857283,802bab76-ef12-4c22-8b13-11d5d3e446d8,782,2,3742.0,,4231,drawing,0,0
3857283,c7dc4562-45a7-4bd2-9400-811342345b71,788,2,4687.0,,343,leading,1,0
3857283,e61fa92e-e04a-4e8b-b810-ebfe0db64eca,782,2,4875.0,,4231,trailing,-1,0
3857286,8d11cfbe-53e1-4cef-bfd0-5e78bc3bc416,3566,2,4295.0,,352,trailing,-2,0
3857286,fc25160b-f0f7-46d2-b588-eb9796808e0c,3565,2,4610.0,,4231,leading,2,0
3857300,0beae6ce-b0c1-4e33-b5cf-6f51f2ccdbc5,799,1,2861.0,,4411,trailing,-1,0
3857300,47e88a7a-1d2c-478f-8d53-0797eeaacb56,779,2,3516.0,,442,trailing,-1,0
3857300,798fc40a-aa37-4df7-9415-8483d13f7436,799,2,4643.0,,4411,leading,1,0
3857300,058800e2-de27-48bc-9db6-e0f263dc428d,799,2,5313.0,,4411,leading,1,0
3857299,29dedd40-0638-4460-b94d-343c4f35b012,791,2,2700.0,,4231,trailing,-2,0
3857299,efe5e6b6-4369-4f4f-b054-2d9a6e1ed523,791,2,4705.0,,4231,trailing,-1,0
3857299,fb68df06-0135-4628-8c5d-974e08408bca,4885,2,4955.0,,3421,leading,1,0
3857299,c0e6f56a-b5fa-42bb-964a-c468e0c2ba78,4885,2,5274.0,,3421,leading,1,0
3857293,06a5dc18-37ad-4169-9abf-0bf4d071b33c,4885,1,1951.0,,4231,trailing,-2,0
3857293,db0756e6-c1ef-4310-b0b9-bf24e5c9a5a1,4885,2,2700.0,,4231,trailing,-2,0
3857293,dd1da1b3-f5cd-4341-a12e-502738824bc7,783,2,4794.0,,442,leading,2,0
3857293,2f67ce68-4b15-4bae-bf54-80a192a317b2,4885,2,5838.0,,4231,trailing,-2,0
3857291,6fb5e7ad-a393-404c-bc57-4aab31ec277f,795,1,1440.0,,4231,trailing,-2,0
3857291,c6c0add4-d35c-4fe7-9446-715766789fa6,795,1,1994.0,,343,trailing,-3,0
3857291,7f542595-83bd-4cb6-8408-66eb179fb181,795,1,2279.0,,343,trailing,-3,0
3857291,c83c8986-940a-462b-b2b4-95591022cba4,772,2,3406.0,,433,leading,4,0
3857291,445f424d-a565-48b7-88c4-b00fe834d295,795,2,3596.0,,343,trailing,-4,0
3857281,6792aa94-1c16-405c-bca1-e36e80391ca2,1833,2,2700.0,,352,trailing,-1,0
3857281,25aeadb0-66fa-4e43-9736-c7d957af3b1b,1833,2,3693.0,,352,trailing,-1,0
3857281,8d0cb67d-c879-4fd8-9fc6-d9c55d58abd6,1833,2,4354.0,,3412,trailing,-2,0
3857281,77478313-bcfa-45fb-a7be-7744317fc4e0,785,2,5142.0,,433,leading,2,0
3857280,60b6c9f3-c6ab-4348-bf98-c805c3fd3719,2722,2,3871.0,,442,drawing,0,0
3857279,d6534aa1-5c51-4e03-a191-3c44af14d607,792,2,4414.0,,4141,trailing,-3,0
3857279,88c98fbd-0596-445a-b752-45d94dd1119b,792,2,5384.0,,4141,trailing,-3,0
3857262,b93bf2aa-aa1a-4e72-8e5f-8f7332786661,780,1,897.0,,433,leading,1,0
3857262,2aef030a-7395-40b4-bff4-2d23cb46a3df,780,1,1661.0,,433,drawing,0,0
3857262,08d1ca3e-5c1f-4abf-af9b-9475c83b8b83,791,2,2700.0,,433,drawing,0,0
3857262,a97bf236-f4cd-490e-80dc-1349d88b5047,780,2,4055.0,,433,drawing,0,0
3857262,be51eec8-c3b6-473e-80ad-fa999015fc4c,791,2,4876.0,,442,drawing,0,0
3857262,8b560f81-b462-4d9b-91a6-54304fbb5950,791,2,5567.0,,343,leading,1,0
